Date(UTC),Pair,Side,Price,Executed,Amount,Fee
24/11/2020 13:21,BTCEUR,BUY,"16,284.10",0.0061400000BTC,99.98437400EUR,0.0000000000BTC
24/11/2020 13:31,BTCUSDT,SELL,"19,290.67",0.0000170000BTC,0.32794139USDT,0.0003279400USDT
24/11/2020 13:31,BTCUSDT,SELL,"19,290.00",0.0003230000BTC,6.23067000USDT,0.0062306700USDT
24/11/2020 13:31,BTCUSDT,SELL,"19,290.66",0.0058000000BTC,111.88582800USDT,0.1118858300USDT
24/11/2020 13:34,BTCUSDT,BUY,"19,246.76",0.0054050000BTC,104.02873780USDT,0.0000054100BTC
24/11/2020 13:35,BTCUSDT,BUY,"19,236.01",0.0006530000BTC,12.56111453USDT,0.0000006500BTC
24/11/2020 13:39,BTCUSDT,SELL,"19,250.13",0.0060510000BTC,116.48253663USDT,0.1164825400USDT
24/11/2020 13:39,BTCUSDT,BUY,"19,224.78",0.0058860000BTC,113.15705508USDT,0.0000058900BTC
24/11/2020 15:02,BTCUSDT,SELL,"19,392.99",0.0058810000BTC,114.05017419USDT,0.1140501700USDT
24/11/2020 15:06,BTCUSDT,BUY,"19,375.07",0.0059860000BTC,115.97916902USDT,0.0000059900BTC
24/11/2020 16:03,BTCUSDT,SELL,"19,408.65",0.0059800000BTC,116.06372700USDT,0.1160637300USDT
24/11/2020 16:05,BTCUSDT,BUY,"19,397.45",0.0058210000BTC,112.91255645USDT,0.0000058200BTC
25/11/2020 13:50,BTCUSDT,SELL,"19,468.29",0.0058150000BTC,113.20810635USDT,0.1132081100USDT
25/11/2020 13:52,BTCUSDT,BUY,"19,240.11",0.0059480000BTC,114.44017428USDT,0.0000059500BTC
